Selected: 198, Non-selected: 802, Total: 1000

Per-metric summary (selected vs non-selected) and effect sizes:
- action_magnitude_mean: sel(mean=2.6307±0.0340, n=198), non(mean=2.6312±0.0363, n=802), d=-0.013, cliff=0.003
- action_smoothness_mean: sel(mean=3.7050±0.0803, n=198), non(mean=3.7076±0.0754, n=802), d=-0.034, cliff=-0.021
- avg_reward: sel(mean=0.1352±0.0676, n=198), non(mean=0.0876±0.0544, n=802), d=0.831, cliff=0.410
- com_speed_stats.end: sel(mean=0.4282±0.1942, n=198), non(mean=0.4352±0.1865, n=802), d=-0.037, cliff=-0.015
- com_speed_stats.max: sel(mean=4.0057±0.6512, n=198), non(mean=4.3232±0.5221, n=802), d=-0.577, cliff=-0.305
- com_speed_stats.mean: sel(mean=0.8740±0.0878, n=198), non(mean=0.9119±0.0851, n=802), d=-0.442, cliff=-0.253
- com_speed_stats.min: sel(mean=0.0000±0.0000, n=198), non(mean=0.0000±0.0000, n=802), d=nan, cliff=0.000
- com_speed_stats.start: sel(mean=0.0000±0.0000, n=198), non(mean=0.0000±0.0000, n=802), d=nan, cliff=0.000
- com_speed_stats.std: sel(mean=0.9422±0.1551, n=198), non(mean=1.0159±0.1236, n=802), d=-0.565, cliff=-0.278
- height_stats.drop: sel(mean=1.3873±0.1353, n=198), non(mean=1.3231±0.1166, n=802), d=0.533, cliff=0.311
- height_stats.end: sel(mean=0.1656±0.0864, n=198), non(mean=0.1633±0.0758, n=802), d=0.030, cliff=0.003
- height_stats.end_over_start: sel(mean=0.1073±0.0565, n=198), non(mean=0.1102±0.0514, n=802), d=-0.056, cliff=-0.059
- height_stats.max: sel(mean=1.5547±0.0999, n=198), non(mean=1.4885±0.0896, n=802), d=0.722, cliff=0.392
- height_stats.mean: sel(mean=0.3940±0.0603, n=198), non(mean=0.3706±0.0479, n=802), d=0.463, cliff=0.240
- height_stats.min: sel(mean=0.0928±0.0276, n=198), non(mean=0.0912±0.0268, n=802), d=0.060, cliff=0.032
- height_stats.start: sel(mean=1.5530±0.0998, n=198), non(mean=1.4864±0.0899, n=802), d=0.724, cliff=0.392
- height_stats.std: sel(mean=0.4418±0.0441, n=198), non(mean=0.4147±0.0363, n=802), d=0.714, cliff=0.378
- length: sel(mean=50.0000±0.0000, n=198), non(mean=50.0000±0.0000, n=802), d=nan, cliff=0.000
- state_change_magnitude_mean: sel(mean=73.5402±3.6272, n=198), non(mean=73.6188±3.4583, n=802), d=-0.023, cliff=-0.005
- success_rate: sel(mean=0.0000±0.0000, n=198), non(mean=0.0000±0.0000, n=802), d=nan, cliff=0.000
- total_reward: sel(mean=6.7580±3.3824, n=198), non(mean=4.3776±2.7203, n=802), d=0.831, cliff=0.410
- upright_stats.drop: sel(mean=0.2192±0.5710, n=198), non(mean=-0.1432±0.5078, n=802), d=0.696, cliff=0.376
- upright_stats.end: sel(mean=0.0596±0.1911, n=198), non(mean=0.0718±0.1948, n=802), d=-0.063, cliff=-0.038
- upright_stats.end_over_start: sel(mean=-0.7711±12.0282, n=198), non(mean=-2.5044±65.9286, n=802), d=0.029, cliff=0.064
- upright_stats.max: sel(mean=0.6611±0.2423, n=198), non(mean=0.4906±0.2108, n=802), d=0.784, cliff=0.410
- upright_stats.mean: sel(mean=0.1082±0.1600, n=198), non(mean=0.0257±0.1521, n=802), d=0.537, cliff=0.316
- upright_stats.min: sel(mean=-0.3567±0.2301, n=198), non(mean=-0.4599±0.2670, n=802), d=0.397, cliff=0.222
- upright_stats.start: sel(mean=0.2788±0.5253, n=198), non(mean=-0.0715±0.4732, n=802), d=0.724, cliff=0.392
- upright_stats.std: sel(mean=0.2855±0.0927, n=198), non(mean=0.2532±0.0890, n=802), d=0.361, cliff=0.202
